ID,Area,DW,Year,ID_num,Tissue,Gender,dta_km,dtfl_km,Longitude,Latitude,Month_of_Capture,Mantle_length_mm,Wet_Weight_g,Maturity_level,Adipic_acid,Caprolactam,Chlorpyrifos,Ibuprofen
65_08_muscle,65,118.9,2020,08,Muscle,0,561,166,59°52'W,49°42'S,3,223.1,255.04,3,0.171,0.034,1 BLOQ,10 BLOQ
65_09_muscle,65,113.7,2020,09,Muscle,0,561,166,59°52'W,49°42'S,3,234.1,285.25,3,0.164,0.021,1 BLOQ,10 BLOQ
65_10_muscle,65,102.5,2020,10,Muscle,1,561,166,59°52'W,49°42'S,3,236.5,345.59,5,0.06,0.018,1 BLOQ,10 BLOQ
65_11_muscle,65,103.3,2020,11,Muscle,0,561,166,59°52'W,49°42'S,3,236.1,257.62,3,0.096,0.026,1 BLOQ,10 BLOQ
65_12_muscle,65,112.8,2020,12,Muscle,0,561,166,59°52'W,49°42'S,3,235,272.61,3,0.198,0.022,1 BLOQ,10 BLOQ
65_13_muscle,65,108,2020,13,Muscle,0,561,166,59°52'W,49°42'S,3,241.4,320.13,4,0.12,0.025,1 BLOQ,0.118
65_14_muscle,65,102.4,2020,14,Muscle,1,561,166,59°52'W,49°42'S,3,237.4,316.7,5,0.287,0.046,1 BLOQ,0.154
65_15_muscle,65,98.9,2020,15,Muscle,1,561,166,59°52'W,49°42'S,3,231.8,302.9,5,0.11,0.034,1 BLOQ,0.172
60_01_stomach,60,105.9,2020,01,Stomach,0,590,130,59°31'W,50°05'S,4,227.3,233.03,3,0.449,0.06,2.5 BLOQ,1.71
60_02_stomach,60,101.6,2020,02,Stomach,0,590,130,59°31'W,50°05'S,4,239.3,336.23,3,25 BLOQ,0.037,2.5 BLOQ,2.4
60_03_stomach,60,104.8,2020,03,Stomach,1,590,130,59°31'W,50°05'S,4,240.6,344.68,5,25 BLOQ,0.086,2.5 BLOQ,1.613
60_04_stomach,60,105.4,2020,04,Stomach,0,590,130,59°31'W,50°05'S,4,240.6,310.74,3,0.703,0.222,2.5 BLOQ,2.164
60_05_stomach,60,107.6,2020,05,Stomach,1,590,130,59°31'W,50°05'S,4,235.9,301.78,5,0.361,0.119,2.5 BLOQ,5.142
60_06_stomach,60,108.9,2020,06,Stomach,0,590,130,59°31'W,50°05'S,4,241.8,292.32,2,0,0.042,2.5 BLOQ,2.639
60_07_stomach,60,113.2,2020,07,Stomach,1,590,130,59°31'W,50°05'S,4,237.3,346.48,5,0.259,0.102,2.5 BLOQ,2.456
60_08_stomach,60,109.4,2020,08,Stomach,1,590,130,59°31'W,50°05'S,4,223.4,259.5,5,25 BLOQ,0.307,2.5 BLOQ,4.273
60_09_stomach,60,100.8,2020,09,Stomach,0,590,130,59°31'W,50°05'S,4,219,226.89,2,1.274,0.208,2.5 BLOQ,2.686
60_10_stomach,60,109.8,2020,10,Stomach,1,590,130,59°31'W,50°05'S,4,215.3,268.83,5,25 BLOQ,0.063,2.5 BLOQ,3.106
60_11_stomach,60,105.2,2020,11,Stomach,0,590,130,59°31'W,50°05'S,4,235.1,277.38,2,25 BLOQ,0.086,2.5 BLOQ,0.23
60_12_stomach,60,108.3,2020,12,Stomach,1,590,130,59°31'W,50°05'S,4,226.7,271.44,5,0.271,0.126,2.5 BLOQ,5.05
60_13_stomach,60,110.2,2020,13,Stomach,1,590,130,59°31'W,50°05'S,4,236.5,293.22,5,25 BLOQ,0.037,2.5 BLOQ,3.322
60_14_stomach,60,109.9,2020,14,Stomach,1,590,130,59°31'W,50°05'S,4,235.3,308.75,5,0.262,0.091,2.5 BLOQ,11.235
60_15_stomach,60,101.1,2020,15,Stomach,0,590,130,59°31'W,50°05'S,4,245.7,346.14,3,25 BLOQ,0.071,2.5 BLOQ,1.176
65_01_stomach,65,106.8,2020,01,Stomach,1,561,166,59°52'W,49°42'S,3,229.1,286.8,5,25 BLOQ,0.053,2.5 BLOQ,0.475
65_02_stomach,65,102.6,2020,02,Stomach,0,561,166,59°52'W,49°42'S,3,235,259.86,3,25 BLOQ,0.097,2.5 BLOQ,0.424
65_03_stomach,65,102.6,2020,03,Stomach,0,561,166,59°52'W,49°42'S,3,248.1,327.45,4,25 BLOQ,0.068,2.5 BLOQ,0.868
65_04_stomach,65,101,2020,04,Stomach,0,561,166,59°52'W,49°42'S,3,248.6,341.04,3,25 BLOQ,0.028,2.5 BLOQ,1.441
65_05_stomach,65,104.8,2020,05,Stomach,1,561,166,59°52'W,49°42'S,3,253.6,381.95,5,1.255,0.095,2.5 BLOQ,10.035
65_06_stomach,65,95.1,2020,06,Stomach,1,561,166,59°52'W,49°42'S,3,222.4,263.52,5,25 BLOQ,0.021,2.5 BLOQ,0.681
65_07_stomach,65,101.5,2020,07,Stomach,1,561,166,59°52'W,49°42'S,3,221.9,253.33,5,25 BLOQ,0.039,2.5 BLOQ,1.337
65_08_stomach,65,115.2,2020,08,Stomach,0,561,166,59°52'W,49°42'S,3,223.1,255.04,3,2.207,0.173,2.5 BLOQ,1.487
65_09_stomach,65,115.9,2020,09,Stomach,0,561,166,59°52'W,49°42'S,3,234.1,285.25,3,25 BLOQ,0.058,2.5 BLOQ,0.899
65_10_stomach,65,100.8,2020,10,Stomach,1,561,166,59°52'W,49°42'S,3,236.5,345.59,5,0.987,0.186,2.5 BLOQ,0.763
65_11_stomach,65,105.7,2020,11,Stomach,0,561,166,59°52'W,49°42'S,3,236.1,257.62,3,25 BLOQ,0.026,2.5 BLOQ,0.531
65_12_stomach,65,110.9,2020,12,Stomach,0,561,166,59°52'W,49°42'S,3,235,272.61,3,25 BLOQ,0.027,2.5 BLOQ,0.629
65_13_stomach,65,100.6,2020,13,Stomach,0,561,166,59°52'W,49°42'S,3,241.4,320.13,4,25 BLOQ,0.447,0.065,0.411
65_14_stomach,65,115.6,2020,14,Stomach,1,561,166,59°52'W,49°42'S,3,237.4,316.7,5,25 BLOQ,0.099,2.5 BLOQ,1.031
65_15_stomach,65,106.3,2020,15,Stomach,1,561,166,59°52'W,49°42'S,3,231.8,302.9,5,25 BLOQ,0.059,2.5 BLOQ,0.982
60_01_liver,60,109.8,2020,01,Liver,0,590,130,59°31'W,50°05'S,4,227.3,233.03,3,20.997,0.268,2.5 BLOQ,8.971
60_02_liver,60,100,2020,02,Liver,0,590,130,59°31'W,50°05'S,4,239.3,336.23,3,86.712,0.593,0.079,7.746
60_03_liver,60,108.2,2020,03,Liver,1,590,130,59°31'W,50°05'S,4,240.6,344.68,5,199.517,1.499,0.105,7.719
60_04_liver,60,100.4,2020,04,Liver,0,590,130,59°31'W,50°05'S,4,240.6,310.74,3,0,0.639,0.043,29.643
60_05_liver,60,115.4,2020,05,Liver,1,590,130,59°31'W,50°05'S,4,235.9,301.78,5,47.917,0.818,0.053,12.376
60_06_liver,60,102.2,2020,06,Liver,0,590,130,59°31'W,50°05'S,4,241.8,292.32,2,147.836,1.413,0.091,7.6
60_07_liver,60,104.9,2020,07,Liver,1,590,130,59°31'W,50°05'S,4,237.3,346.48,5,0,0.165,0,12.879
60_08_liver,60,102.5,2020,08,Liver,1,590,130,59°31'W,50°05'S,4,223.4,259.5,5,0,0.557,2.5 BLOQ,12.533
60_09_liver,60,101.6,2020,09,Liver,0,590,130,59°31'W,50°05'S,4,219,226.89,2,29.188,0.706,0.074,20.887
60_10_liver,60,103.2,2020,10,Liver,1,590,130,59°31'W,50°05'S,4,215.3,268.83,5,119.816,1.8,0.122,14.699
60_11_liver,60,106.9,2020,11,Liver,0,590,130,59°31'W,50°05'S,4,235.1,277.38,2,46.201,1.15,0.056,15.111
60_12_liver,60,104.3,2020,12,Liver,1,590,130,59°31'W,50°05'S,4,226.7,271.44,5,61.925,0.635,0.077,16.194
60_13_liver,60,104.5,2020,13,Liver,1,590,130,59°31'W,50°05'S,4,236.5,293.22,5,230.516,0.679,0.127,3.348
60_14_liver,60,102.3,2020,14,Liver,1,590,130,59°31'W,50°05'S,4,235.3,308.75,5,279.327,1.41,0.043,2.303
60_15_liver,60,102.3,2020,15,Liver,0,590,130,59°31'W,50°05'S,4,245.7,346.14,3,0,0.422,0.091,10.689
65_01_liver,65,105.6,2020,01,Liver,1,561,166,59°52'W,49°42'S,3,229.1,286.8,5,262.029,0.63,0.118,25.542
65_02_liver,65,104.6,2020,02,Liver,0,561,166,59°52'W,49°42'S,3,235,259.86,3,333.896,2.231,0.03,11.897
65_03_liver,65,108.2,2020,03,Liver,0,561,166,59°52'W,49°42'S,3,248.1,327.45,4,38.1,1.423,0.053,12.715
65_04_liver,65,108.8,2020,04,Liver,0,561,166,59°52'W,49°42'S,3,248.6,341.04,3,340.685,0.657,0.126,2.948
65_05_liver,65,113.2,2020,05,Liver,1,561,166,59°52'W,49°42'S,3,253.6,381.95,5,0,1.006,0.062,12.924
65_06_liver,65,108.8,2020,06,Liver,1,561,166,59°52'W,49°42'S,3,222.4,263.52,5,0,0.21,0.025,4.627
65_07_liver,65,114.3,2020,07,Liver,1,561,166,59°52'W,49°42'S,3,221.9,253.33,5,0,0.575,0.113,8.033
65_08_liver,65,111.2,2020,08,Liver,0,561,166,59°52'W,49°42'S,3,223.1,255.04,3,80.672,0.858,0.063,5.529
65_09_liver,65,104.7,2020,09,Liver,0,561,166,59°52'W,49°42'S,3,234.1,285.25,3,0,0.374,0.033,9.69
65_10_liver,65,121.5,2020,10,Liver,1,561,166,59°52'W,49°42'S,3,236.5,345.59,5,0,0.271,0.056,3.01
65_11_liver,65,105.4,2020,11,Liver,0,561,166,59°52'W,49°42'S,3,236.1,257.62,3,15.709,0.328,0.08,7.505
65_12_liver,65,118.8,2020,12,Liver,0,561,166,59°52'W,49°42'S,3,235,272.61,3,0,0.406,0.063,8.856
65_13_liver,65,108.8,2020,13,Liver,0,561,166,59°52'W,49°42'S,3,241.4,320.13,4,0,0.478,0.069,7.657
65_14_liver,65,106.4,2020,14,Liver,1,561,166,59°52'W,49°42'S,3,237.4,316.7,5,0,0.124,2.5 BLOQ,10.408
65_15_liver,65,101.2,2020,15,Liver,1,561,166,59°52'W,49°42'S,3,231.8,302.9,5,0,1.041,0,14.882
60_01_inksac,60,107,2020,01,Inksac,0,590,130,59°31'W,50°05'S,4,227.3,233.03,3,0.143,0.372,5 BLOQ,2.455
60_03_inksac,60,51.7,2020,03,Inksac,1,590,130,59°31'W,50°05'S,4,240.6,344.68,5,0.234,0.397,5 BLOQ,5.43
60_04_inksac,60,100.5,2020,04,Inksac,0,590,130,59°31'W,50°05'S,4,240.6,310.74,3,0.536,0.151,5 BLOQ,1.734
60_05_inksac,60,101.6,2020,05,Inksac,1,590,130,59°31'W,50°05'S,4,235.9,301.78,5,0.379,0.292,5 BLOQ,3.275
60_06_inksac,60,100.2,2020,06,Inksac,0,590,130,59°31'W,50°05'S,4,241.8,292.32,2,0.123,0.425,5 BLOQ,1.946
60_07_inksac,60,50.2,2020,07,Inksac,1,590,130,59°31'W,50°05'S,4,237.3,346.48,5,4.883,0.294,5 BLOQ,10.304
60_09_inksac,60,100.6,2020,09,Inksac,0,590,130,59°31'W,50°05'S,4,219,226.89,2,0.327,0.234,5 BLOQ,2.267
60_10_inksac,60,53.7,2020,10,Inksac,1,590,130,59°31'W,50°05'S,4,215.3,268.83,5,0.264,0.642,5 BLOQ,11.127
60_12_inksac,60,102.3,2020,12,Inksac,1,590,130,59°31'W,50°05'S,4,226.7,271.44,5,0.971,0.18,5 BLOQ,5 BLOQ
60_14_inksac,60,106.6,2020,14,Inksac,1,590,130,59°31'W,50°05'S,4,235.3,308.75,5,0.409,0.25,5 BLOQ,6.813
65_15_inksac,65,101.6,2020,15,Inksac,1,561,166,59°52'W,49°42'S,3,231.8,302.9,5,0.091,0.082,5 BLOQ,1.254
