Calibration curve --->,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metal_F [ He ] ,Conc. [ ppb ],0,0.63,2.08,4.67,6.98,9.98,20.91,30.33,39.54,49.95,NA,NA,NA,NA
,Avg.intensity,381.13,35285.54,116140.07,260022.07,388569.49,555090.63,1162988.18,1686150.18,2198220.89,2777271.73,NA,NA,NA,NA
,std,16.63,2.56,2.34,2.2,1.62,1.37,1.01,1.98,1.12,0.58,NA,NA,NA,NA
NA,y-y0,0,9599.68,24615.27,49455.83,71087.94,95038.26,192169.76,293292.03,383953,478386.31,9612.874788,17.78,23.55,37
Metal_G [ He ] ,Conc. [ ppb ],0,1,2.56,5.14,7.4,9.89,19.99,30.51,39.94,49.77,NA,NA,NA,NA
,Avg.intensity,17.78,9617.46,24633.05,49473.61,71105.72,95056.04,192187.54,293309.81,383970.78,478404.09,NA,NA,NA,NA
,std,10.81,0.76,3.06,1.8,0.57,1.32,1.74,0.44,1.05,0.99,NA,NA,NA,NA
NA,y-y0,0,2546.96,10130.27,24302.83,46418.59,57353.97,174727.76,3364.91,1833.5,1172.3,5621.765085,62.22,113.55,233.32
Metal_H [ He ] ,Conc. [ ppb ],0,0.45,1.78,4.28,8.17,10.09,30.75,0.59,0.32,0.21,NA,NA,NA,NA
,Avg.intensity,62.22,2609.18,10192.49,24365.05,46480.81,57416.19,174789.98,3427.13,1895.72,1234.52,NA,NA,NA,NA
,std,27.5,4.5,2.22,0.56,3.07,1.95,0.55,3.45,1.27,8.12,NA,NA,NA,NA
NA,y-y0,0,64819.58,163513.94,345606.41,481050.49,626099.25,1278980.07,1852823.92,2468863.8,3027776.89,65644.23904,356.68,400.23,501.85
Metal_I [ He ] ,Conc. [ ppb ],0,1.05,2.66,5.62,7.83,10.19,20.82,30.15,40.18,49.28,NA,NA,NA,NA
,Avg.intensity,356.68,65176.26,163870.62,345963.09,481407.17,626455.93,1279336.75,1853180.6,2469220.48,3028133.57,NA,NA,NA,NA
,std,4.07,1.29,1.22,1.97,1.84,1.94,1.89,1.62,2.21,0.89,NA,NA,NA,NA
NA,y-y0,0,49278.04,115218.71,240083.39,331687.22,448536.59,897104.94,1355082.96,1689407.54,2090665.01,45484.6996,786.71,1102.5,1839.33
208  J  [ He ] ,Conc. [ ppb ],0,1.15,2.69,5.61,7.75,10.48,20.96,31.66,39.47,48.84,NA,NA,NA,NA
,Avg.intensity,786.71,50064.75,116005.42,240870.1,332473.93,449323.3,897891.65,1355869.67,1690194.25,2091451.72,NA,NA,NA,NA
,std,13.38,1.49,0.34,1.82,2.46,0.61,1.68,0.61,1.06,0.93,NA,NA,NA,NA
Calibration curve --->,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,y-y0,0,2726.06,1678.02,5400.43,6794.44,9930.86,19214.38,33100.74,39014.53,47943.25,987.6073472,2248.09,3073.59,4999.75
